country,occurrences,gbifID
AU,1,4939598
BJ,60,3152663
BR,15,3152663
AU,11,3152663
IN,7,3152663
CN,6,3152663
KR,6,3152663
AQ,5,3152663
US,5,3152663
NG,2,3152663
AO,1,3152663
CO,1,3152663
DE,1,3152663
GP,1,3152663
NA,1,3152663
PT,1,3152663
MX,143,7278815
MX,8,3934579
AU,502,7278797
BR,39,3152666
BJ,24,3152666
CO,23,3152666
AU,16,3152666
EC,15,3152666
PE,15,3152666
US,11,3152666
MF,8,3152666
PG,6,3152666
ES,5,3152666
GF,5,3152666
MX,5,3152666
NG,5,3152666
BO,3,3152666
DO,3,3152666
TL,3,3152666
AR,2,3152666
CL,2,3152666
MA,2,3152666
MG,2,3152666
NI,2,3152666
SA,2,3152666
SV,2,3152666
BE,1,3152666
CI,1,3152666
CK,1,3152666
CN,1,3152666
CU,1,3152666
IN,1,3152666
JM,1,3152666
NL,1,3152666
PF,1,3152666
SR,1,3152666
AU,8,3934269
MG,4,3934227
AU,3,3934111
AU,5,3934095
EC,581,3934083
MX,173,3934075
AU,6,3934004
MX,43,7278740
US,2,7278740
ZA,115,3152658
BW,20,3152658
ES,19,3152658
BR,13,3152658
GR,11,3152658
TW,10,3152658
MZ,7,3152658
DE,6,3152658
IN,4,3152658
SZ,4,3152658
IT,3,3152658
RE,3,3152658
MA,2,3152658
ZW,2,3152658
CR,1,3152658
CV,1,3152658
CY,1,3152658
EG,1,3152658
GN,1,3152658
KR,1,3152658
MT,1,3152658
NA,1,3152658
NG,1,3152658
SH,1,3152658
SN,1,3152658
TL,1,3152658
UZ,1,3152658
MX,413,3152661
US,336,3152661
PR,131,3152661
BR,111,3152661
AU,37,3152661
CN,22,3152661
GT,20,3152661
IN,16,3152661
VI,16,3152661
BQ,15,3152661
PA,15,3152661
DO,13,3152661
KY,11,3152661
BS,10,3152661
CO,10,3152661
AG,9,3152661
CV,9,3152661
GP,9,3152661
CR,8,3152661
CW,8,3152661
SV,8,3152661
UZ,8,3152661
BJ,6,3152661
KN,6,3152661
PK,6,3152661
MF,5,3152661
MQ,5,3152661
SN,5,3152661
SX,5,3152661
MY,4,3152661
TC,4,3152661
AE,3,3152661
BE,3,3152661
BL,3,3152661
ES,3,3152661
IT,3,3152661
JM,3,3152661
TT,3,3152661
VG,3,3152661
AR,2,3152661
BF,2,3152661
GR,2,3152661
HN,2,3152661
HT,2,3152661
NG,2,3152661
SG,2,3152661
TL,2,3152661
AW,1,3152661
BB,1,3152661
BO,1,3152661
CH,1,3152661
CU,1,3152661
DM,1,3152661
EC,1,3152661
EG,1,3152661
ET,1,3152661
GD,1,3152661
GF,1,3152661
GH,1,3152661
IQ,1,3152661
KR,1,3152661
LA,1,3152661
LC,1,3152661
MG,1,3152661
MS,1,3152661
NC,1,3152661
PF,1,3152661
PH,1,3152661
SC,1,3152661
TG,1,3152661
TH,1,3152661
TR,1,3152661
VE,1,3152661
ZA,1,3152661
MX,173,7278721
EC,1,7278721
AU,1,3933292
CN,5,3933091
AU,1,3933091
AU,7,3940934
UM,4,9239703
OM,3,3940811
CN,1,3940811
AU,132,3152671
US,591,3152653
MX,16,3152653
AU,1,3152653
US,342,3152655
UM,1,3152655
KR,15,3940633
PT,4,3940633
NA,7,3940626
MX,30,3940619
