speciesLabel,iucnLabel,lat,lon,country
Gossypium africanum,,17.63,8.6959,Niger
Gossypium albescens,,56.8527,53.2069,Russian Federation
Gossypium anapoides,,-13.815647,126.795623,Australia
Gossypium anapoides,,-14.1,126.7,Australia
Gossypium anapoides,,-14.1,126.7,Australia
Gossypium anapoides,,-14.1,126.6,Australia
Gossypium anapoides,,-13.8,126.8,Australia
Gossypium anapoides,,-13.8,126.8,Australia
Gossypium anapoides,,-13.9,126.8,Australia
Gossypium anapoides,,-13.9,126.8,Australia
Gossypium anapoides,,-13.8,126.8,Australia
Gossypium anapoides,,-13.8,126.8,Australia
Gossypium anapoides,,-13.8,126.8,Australia
Gossypium anapoides,,-13.9,126.8,Australia
Gossypium anapoides,,-13.9,126.8,Australia
Gossypium anapoides,,-13.9,126.8,Australia
Gossypium anapoides,,-13.8,126.7,Australia
Gossypium anapoides,,-13.8,126.8,Australia
Gossypium anapoides,,-13.9,126.8,Australia
Gossypium anapoides,,-13.9,126.8,Australia
Gossypium anapoides,,-13.9,126.8,Australia
Gossypium anapoides,,-13.8,126.75,Australia
Gossypium arboreum,,-15.451111,-39.698611,Brazil
Gossypium arboreum,,19.9764,85.6049,India
Gossypium arboreum,,19.9764,85.6049,India
Gossypium arboreum,,19.9498,85.6672,India
Gossypium arboreum,,17.719672,77.698207,India
Gossypium arboreum,,-13.558056,-47.637222,Brazil
Gossypium arboreum,,35.82942,127.1521,"Korea, Republic of"
Gossypium arboreum,,37.48098,127.1857,"Korea, Republic of"
Gossypium arboreum,,34.000989,-118.446786,United States of America
Gossypium arboreum,,34.118131,-118.23057,United States of America
Gossypium arboreum,,10.35295,-75.428627,Colombia
Gossypium arboreum,,-22.91222,-43.23583,Brazil
Gossypium arboreum,,35.9412,127.031105,"Korea, Republic of"
Gossypium arboreum,,50.126633,8.657827,Germany
Gossypium arboreum,,22.734271,77.738071,India
Gossypium arboreum,,-1.868889,-51.309722,Brazil
Gossypium arboreum,,16.419489,-61.532515,Guadeloupe
Gossypium arboreum,,-20.377778,-43.416111,Brazil
Gossypium arboreum,,-20.377778,-43.416111,Brazil
Gossypium arboreum,,36.018056,127.253611,"Korea, Republic of"
Gossypium arboreum,,35.275383,127.935867,"Korea, Republic of"
Gossypium arboreum,,35.939444,127.033056,"Korea, Republic of"
Gossypium arboreum,,10.522061,1.282213,Benin
Gossypium arboreum,,10.531625,1.292008,Benin
Gossypium arboreum,,10.499826,1.245029,Benin
Gossypium arboreum,,10.501782,1.24077,Benin
Gossypium arboreum,,10.51932,1.283498,Benin
Gossypium arboreum,,10.51932,1.283498,Benin
Gossypium arboreum,,10.518895,1.286962,Benin
Gossypium arboreum,,10.499766,1.244015,Benin
Gossypium arboreum,,10.499332,1.243753,Benin
Gossypium arboreum,,10.519361,1.28442,Benin
Gossypium arboreum,,10.521816,1.283639,Benin
Gossypium arboreum,,10.521738,1.284416,Benin
Gossypium arboreum,,10.499759,1.244472,Benin
Gossypium arboreum,,10.521906,1.285356,Benin
Gossypium arboreum,,10.520017,1.286983,Benin
Gossypium arboreum,,10.522154,1.284423,Benin
Gossypium arboreum,,10.520956,1.285224,Benin
Gossypium arboreum,,10.502371,1.241032,Benin
Gossypium arboreum,,10.518269,1.288062,Benin
Gossypium arboreum,,10.518909,1.287794,Benin
Gossypium arboreum,,10.502958,1.240873,Benin
Gossypium arboreum,,10.564478,1.318936,Benin
Gossypium arboreum,,10.564058,1.316471,Benin
Gossypium arboreum,,10.519117,1.286112,Benin
Gossypium arboreum,,10.519158,1.28538,Benin
Gossypium arboreum,,10.519186,1.285527,Benin
Gossypium arboreum,,10.517751,1.287599,Benin
Gossypium arboreum,,10.503897,1.240675,Benin
Gossypium arboreum,,10.518895,1.286962,Benin
Gossypium arboreum,,10.503444,1.240478,Benin
Gossypium arboreum,,-17.35,-63.566667,Brazil
Gossypium arboreum,,-1.379444,-47.488333,Brazil
Gossypium arboreum,,-17.277778,-41.655556,Brazil
Gossypium arboreum,,-22.91194,-43.23472,Brazil
Gossypium arboreum,,-64.471,115.623,Antarctica
Gossypium arboreum,,-64.471,115.623,Antarctica
Gossypium arboreum,,-33.992,151.2323,Australia
Gossypium arboreum,,-33.992,151.2323,Australia
Gossypium arboreum,,-64.5387,116.6403,Antarctica
Gossypium arboreum,,-64.729,118.696,Antarctica
Gossypium arboreum,,-64.729,118.696,Antarctica
Gossypium arboreum,,6.480264,3.384523,Nigeria
Gossypium arboreum,,-33.992,151.2323,Australia
Gossypium arboreum,,-20.230278,-43.293611,Brazil
Gossypium arboreum,,-33.992,151.2323,Australia
Gossypium arboreum,,-15.590889,-57.226389,Brazil
Gossypium arboreum,,-33.9911,151.2325,Australia
Gossypium arboreum,,-33.8472,151.1984,Australia
Gossypium arboreum,,-33.992,151.2323,Australia
Gossypium arboreum,,-33.992,151.2323,Australia
Gossypium arboreum,,20.7337,86.8692,India
Gossypium arboreum,,-33.992,151.2323,Australia
Gossypium arboreum,,30.25,-88.07,United States of America
Gossypium arboreum,,30.25,-88.07,United States of America
Gossypium arboreum,,10.518527,1.282323,Benin
Gossypium arboreum,,10.519179,1.284238,Benin
Gossypium arboreum,,10.519835,1.286802,Benin
Gossypium arboreum,,10.519138,1.283316,Benin
Gossypium arboreum,,10.519138,1.283316,Benin
Gossypium arboreum,,10.520774,1.285042,Benin
Gossypium arboreum,,10.521724,1.285174,Benin
Gossypium arboreum,,10.521556,1.284234,Benin
Gossypium arboreum,,10.521634,1.283457,Benin
Gossypium arboreum,,10.521972,1.284241,Benin
Gossypium arboreum,,10.521879,1.282031,Benin
Gossypium arboreum,,10.531443,1.291826,Benin
Gossypium arboreum,,10.499149,1.243571,Benin
Gossypium arboreum,,10.499644,1.244847,Benin
