typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20240101,2024,52,2024,380,ITA,Italy,M,Import,0,W00,World,0,W00,World,H6,HS,True,520790,"Cotton yarn; (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,185547,False,8,kg,185547,False,185547,False,0,False,822464.111,,822464.111,0,False,True
C,A,20240101,2024,52,2024,380,ITA,Italy,M,Import,156,CHN,China,0,W00,World,H6,HS,True,520790,"Cotton yarn; (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6600,False,8,kg,6600,False,6600,False,0,False,46413.557,,46413.557,0,True,False
C,A,20240101,2024,52,2024,380,ITA,Italy,M,Import,203,CZE,Czechia,0,W00,World,H6,HS,True,520790,"Cotton yarn; (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,False,8,kg,1,False,1,False,0,False,10.824,,10.824,0,True,False
C,A,20240101,2024,52,2024,380,ITA,Italy,M,Import,251,FRA,France,0,W00,World,H6,HS,True,520790,"Cotton yarn; (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5033,False,8,kg,5033,False,5033,False,0,False,54756.545,,54756.545,0,True,False
C,A,20240101,2024,52,2024,380,ITA,Italy,M,Import,276,DEU,Germany,0,W00,World,H6,HS,True,520790,"Cotton yarn; (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10436,False,8,kg,10436,False,10436,False,0,False,149158.522,,149158.522,0,True,False
C,A,20240101,2024,52,2024,380,ITA,Italy,M,Import,348,HUN,Hungary,0,W00,World,H6,HS,True,520790,"Cotton yarn; (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1518,False,8,kg,1518,False,1518,False,0,False,14214.903,,14214.903,0,True,False
C,A,20240101,2024,52,2024,380,ITA,Italy,M,Import,372,IRL,Ireland,0,W00,World,H6,HS,True,520790,"Cotton yarn; (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,False,8,kg,1,False,1,False,0,False,10.824,,10.824,0,True,False
C,A,20240101,2024,52,2024,380,ITA,Italy,M,Import,392,JPN,Japan,0,W00,World,H6,HS,True,520790,"Cotton yarn; (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,109,False,8,kg,109,False,109,False,0,False,9759.825,,9759.825,0,True,False
C,A,20240101,2024,52,2024,380,ITA,Italy,M,Import,442,LUX,Luxembourg,0,W00,World,H6,HS,True,520790,"Cotton yarn; (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,False,8,kg,1,False,1,False,0,False,6.494,,6.494,0,True,False
C,A,20240101,2024,52,2024,380,ITA,Italy,M,Import,528,NLD,Netherlands,0,W00,World,H6,HS,True,520790,"Cotton yarn; (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2478,False,8,kg,2478,False,2478,False,0,False,34306.049,,34306.049,0,True,False
C,A,20240101,2024,52,2024,380,ITA,Italy,M,Import,616,POL,Poland,0,W00,World,H6,HS,True,520790,"Cotton yarn; (not sewing thread), containing less than 85% by weight of cotton, put up for retail sale",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,338,False,8,kg,338,False,338,False,0,False,6014.788,,6014.788,0,True,False
